Dataset_Name,Adaptor,lora_rank,clipi,clipt,num_train_epochs,no_of_images,learning_rate,learning_rate_text,alpha_text,alpha_unet,output_path,with_prior_preservation
dog6,1,8,0.7177734375,0.3006525812922297,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_400_True/images,True
clock,1,8,0.73681640625,0.3188999720982143,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_400_True/images,True
teapot,1,8,0.78857421875,0.3464599609375,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-06_400_True/images,True
dog6,1,8,0.72021484375,0.2952418971706081,80,5,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_400_False/images,False
clock,1,8,0.7470703125,0.3129621233258928,67,6,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_400_False/images,False
dog6,1,8,0.7236328125,0.2985245988175675,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_800_True/images,True
clock,1,8,0.7412109375,0.3170514787946428,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_800_True/images,True
teapot,1,8,0.77197265625,0.3396321614583333,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-06_800_True/images,True
dog2,1,8,0.68359375,0.3033377511160714,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-06_400_True/images,True
cat,1,8,0.76904296875,0.3164230872844827,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-06_400_True/images,True
dog6,1,8,0.72509765625,0.3013751055743243,160,5,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_800_False/images,False
clock,1,8,0.7548828125,0.3145403180803571,134,6,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_800_False/images,False
backpack,1,8,0.78466796875,0.3270053205818966,2,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-06_400_True/images,True
dog6,1,8,0.72314453125,0.3009165171030405,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_1000_True/images,True
clock,1,8,0.7529296875,0.3166242327008928,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_1000_True/images,True
teapot,1,8,0.76513671875,0.3453450520833333,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/teapot/krona_8_5e-06_5e-06_1000_True/images,True
dog2,1,8,0.68994140625,0.3087193080357143,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog2/krona_8_5e-06_5e-06_800_True/images,True
cat,1,8,0.77294921875,0.3189486799568966,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/cat/krona_8_5e-06_5e-06_800_True/images,True
dog6,1,8,0.736328125,0.2928499788851351,200,5,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/dog6/krona_8_5e-06_5e-06_1000_False/images,False
clock,1,8,0.7509765625,0.3174961635044643,167,6,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/clock/krona_8_5e-06_5e-06_1000_False/images,False
backpack,1,8,0.78125,0.3253215921336206,4,250,5e-06,5e-06,1.0,1.0,/home/btech/ayush.singh/tune_krona_outputs/backpack/krona_8_5e-06_5e-06_800_True/images,True
